learn:jqzx.csv check Article60:【两会夜归人】岛叔倾情讲述：36个人，一颗中国心 	 Result: 	0.2864823340736053 	254 	94



  	class: 家乡  	d: 18  	pt: 2.0  	diff:  本土A1.0 故土B1.0
  	class: 好  	d: 49  	pt: 2.0  	diff:  优秀A0.43243243243243246 佳A0.032432432432432434 优异A0.032432432432432434 理想A0.2756756756756757 出色A0.11891891891891893 精彩A0.02702702702702703 漂亮A0.032432432432432434 拔尖A0.005405405405405406 精美A0.005405405405405406 出彩A0.005405405405405406 优A0.032432432432432434 精良B1.0
  	class: 见识  	d: 10  	pt: 2.0  	diff:  视界A0.3333333333333333 见识A0.3333333333333333 眼界A0.3333333333333333 见闻B1.0
  	class: 旅客  	d: 4  	pt: 2.0  	diff:  行人A0.9696969696969697 旅客A0.030303030303030304 游子B1.0
  	class: 方音  	d: 4  	pt: 2.0  	diff:  口音A1.0 乡音B1.0
  	class: 坚强  	d: 30  	pt: 2.0  	diff:  硬A0.9166666666666666 强项A0.08333333333333333 坚强B1.0
  	class: 集市  	d: 9  	pt: 2.0  	diff:  场A1.0 庙B1.0
  	class: 档案  	d: 2  	pt: 2.0  	diff:  档案A1.0 档B1.0
  	class: 手记  	d: 2  	pt: 2.0  	diff:  手写A1.0 手记B1.0
  	class: 耻笑  	d: 10  	pt: 2.0  	diff:  笑话A0.5 嘲笑A0.5 寒碜B1.0
  	class: 慎重  	d: 3  	pt: 2.0  	diff:  慎重A1.0 郑重B1.0
  	class: 信服  	d: 7  	pt: 2.0  	diff:  信服A1.0 服气B1.0
  	class: 学习  	d: 10  	pt: 2.0  	diff:  学习A0.9985943775100402 攻读A0.0008032128514056225 学学A0.00040160642570281126 求学A0.00020080321285140563 上学B1.0
  	class: 惩办  	d: 16  	pt: 2.0  	diff:  处置A1.0 办B1.0
  	class: 显示  	d: 12  	pt: 1.9633587786259543  	diff:  显示A0.20916030534351146 展示A0.7480916030534351 亮A0.004580152671755725 显得AB0.981679389312977 形A0.015267175572519083 示A0.004580152671755725
  	class: 正确  	d: 18  	pt: 1.9541284403669725  	diff:  不错A0.3256880733944954 科学A0.6009174311926605 不易A0.01834862385321101 没错AB0.9770642201834863 正确性A0.03211009174311927
  	class: 回忆  	d: 19  	pt: 1.9245283018867925  	diff:  回顾A0.8301886792452831 回溯A0.018867924528301886 想起AB0.9622641509433962 回想A0.05660377358490566 回忆A0.05660377358490566
  	class: 能力  	d: 3  	pt: 1.921641791044776  	diff:  能力A0.9402985074626866 力量AB0.960820895522388 力A0.020522388059701493
  	class: 呈现  	d: 7  	pt: 1.8964577656675752  	diff:  表现A0.8528610354223434 展现AB0.9482288828337875 呈现A0.08446866485013624 变现A0.005449591280653951 显现A0.005449591280653951
  	class: 知识  	d: 4  	pt: 1.8934169278996864  	diff:  文化AB0.9467084639498433 知识A0.9404388714733543 学问A0.003134796238244514 学识A0.003134796238244514
  	class: 对象  	d: 4  	pt: 1.7039007092198581  	diff:  目标A0.8519503546099291 对象AB0.8519503546099291
